method,n,final_accuracy,final_accuracy_std,forgetting,forgetting_std,AAA,AAA_std,WCAcc,WCAcc_std
ER,5,0.2831,0.00869568858688028,0.36922,0.014556510570875147,,,,
Skill Memory,5,0.17872000000000005,0.005081043199973799,0.11042,0.00614914628220861,,,,
